Non-optimal chan   83 proposed ABAD0002 at cool       1 iteration      59
Non-optimal chan   91 proposed ABAD0002 at cool       1 iteration      59
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      59
Non-optimal chan    5 proposed ABAD0002 at cool       1 iteration      60
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      61
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      61
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      62
Non-optimal chan  118 proposed ABAD0002 at cool       1 iteration      62
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      62
Non-optimal chan   46 proposed ABAD0002 at cool       1 iteration      62
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      62
Non-optimal chan   91 proposed ABAD0002 at cool       1 iteration      63
Non-optimal chan   49 proposed ABAD0002 at cool       1 iteration      63
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      63
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      64
Non-optimal chan   25 proposed ABAD0002 at cool       1 iteration      64
Non-optimal chan   59 proposed ABAD0002 at cool       1 iteration      65
Non-optimal chan  115 proposed ABAD0002 at cool       1 iteration      65
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      65
Non-optimal chan   83 proposed ABAD0002 at cool       1 iteration      66
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      66
Non-optimal chan   35 proposed ABAD0002 at cool       1 iteration      66
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      66
Non-optimal chan   37 proposed ABAD0002 at cool       1 iteration      67
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      67
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      67
Non-optimal chan   56 proposed ABAD0002 at cool       1 iteration      67
Non-optimal chan   25 proposed ABAD0002 at cool       1 iteration      67
Non-optimal chan    5 proposed ABAD0002 at cool       1 iteration      68
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      68
Non-optimal chan   97 proposed ABAD0002 at cool       1 iteration      68
Non-optimal chan  107 proposed ABAD0002 at cool       1 iteration      68
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      68
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      69
Non-optimal chan  118 proposed ABAD0002 at cool       1 iteration      69
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      69
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      69
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      70
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      70
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      70
Non-optimal chan   91 proposed ABAD0002 at cool       1 iteration      71
Non-optimal chan   35 proposed ABAD0002 at cool       1 iteration      71
Non-optimal chan   43 proposed ABAD0002 at cool       1 iteration      71
Non-optimal chan   61 proposed ABAD0002 at cool       1 iteration      71
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      72
Non-optimal chan   49 proposed ABAD0002 at cool       1 iteration      72
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      72
Non-optimal chan   37 proposed ABAD0002 at cool       1 iteration      73
Non-optimal chan   94 proposed ABAD0002 at cool       1 iteration      73
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      73
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      74
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      74
Non-optimal chan   56 proposed ABAD0002 at cool       1 iteration      74
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      75
Non-optimal chan   67 proposed ABAD0002 at cool       1 iteration      75
Non-optimal chan   61 proposed ABAD0002 at cool       1 iteration      75
Non-optimal chan   43 proposed ABAD0002 at cool       1 iteration      76
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      76
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      76
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      77
Non-optimal chan   64 proposed ABAD0002 at cool       1 iteration      77
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      78
Non-optimal chan   29 proposed ABAD0002 at cool       1 iteration      78
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      78
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      79
Non-optimal chan  104 proposed ABAD0002 at cool       1 iteration      79
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      79
Non-optimal chan   56 proposed ABAD0002 at cool       1 iteration      79
Non-optimal chan   64 proposed ABAD0002 at cool       1 iteration      80
Non-optimal chan   32 proposed ABAD0002 at cool       1 iteration      80
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      80
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      80
Non-optimal chan  101 proposed ABAD0002 at cool       1 iteration      81
Non-optimal chan   11 proposed ABAD0002 at cool       1 iteration      81
Non-optimal chan   16 proposed ABAD0002 at cool       1 iteration      81
Non-optimal chan   88 proposed ABAD0002 at cool       1 iteration      81
Non-optimal chan  104 proposed ABAD0002 at cool       1 iteration      81
Non-optimal chan   43 proposed ABAD0002 at cool       1 iteration      82
Non-optimal chan   35 proposed ABAD0002 at cool       1 iteration      82
Non-optimal chan   61 proposed ABAD0002 at cool       1 iteration      82
Non-optimal chan   59 proposed ABAD0002 at cool       1 iteration      82
Non-optimal chan   25 proposed ABAD0002 at cool       1 iteration      83
Non-optimal chan   59 proposed ABAD0002 at cool       1 iteration      83
Non-optimal chan   49 proposed ABAD0002 at cool       1 iteration      83
Non-optimal chan   22 proposed ABAD0002 at cool       1 iteration      84
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      84
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      84
Non-optimal chan    8 proposed ABAD0002 at cool       1 iteration      84
Non-optimal chan   77 proposed ABAD0002 at cool       1 iteration      85
Non-optimal chan    1 proposed ABAD0002 at cool       1 iteration      85
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      85
Non-optimal chan   13 proposed ABAD0002 at cool       1 iteration      86
Non-optimal chan   53 proposed ABAD0002 at cool       1 iteration      86
Non-optimal chan   40 proposed ABAD0002 at cool       1 iteration      86
Non-optimal chan   70 proposed ABAD0002 at cool       1 iteration      86
Non-optimal chan   73 proposed ABAD0002 at cool       1 iteration      87
